COG0409,COG0409
COG0410,COG0410
COG0411,COG0411
COG0412,COG0412
COG0413,COG0413
COG0414,COG0414
COG0415,COG0415
COG0416,COG0416
COG0417,COG0417
COG0418,COG0418
COG0419,COG0419
COG0420,COG0420
COG0421,COG0421
COG0422,COG0422
COG0423,COG0423
COG0424,COG0424
COG0425,COG0425
COG0426,COG0426
COG0427,COG0427
COG0428,COG0428
COG0429,COG0429
COG0430,COG0430
COG0431,COG0431
COG0432,COG0432
COG0433,COG0433
COG0434,COG0434
COG0435,COG0435
COG0436,COG0436
COG0437,COG0437
COG0438,COG0438
COG0439,COG0439
COG0440,COG0440
COG0441,COG0441
COG0442,COG0442
COG0443,COG0443
COG0444,COG0444
COG0445,COG0445
COG0446,COG0446
COG0447,COG0447
COG0448,COG0448
COG0449,COG0449
COG0450,COG0450
COG0451,COG0451
COG0452,COG0452
COG0454,COG0454
COG0455,COG0455
COG0456,COG0456
COG0457,COG0457
COG0458,COG0458
COG0459,COG0459
COG0460,COG0460
COG0461,COG0461
COG0462,COG0462
COG0463,COG0463
COG0464,COG0464
COG0465,COG0465
COG0466,COG0466
COG0467,COG0467
COG0468,COG0468
COG0469,COG0469
COG0470,COG0470
COG0471,COG0471
COG0472,COG0472
COG0473,COG0473
COG0474,COG0474
COG0475,COG0475
COG0476,COG0476
COG0477,COG0477
COG0478,COG0478
COG0479,COG0479
COG0480,COG0480
COG0481,COG0481
COG0482,COG0482
COG0483,COG0483
COG0484,COG0484
COG0486,COG0486
COG0488,COG0488
COG0489,COG0489
COG0490,COG0490
COG0491,COG0491
COG0492,COG0492
COG0493,COG0493
COG0494,COG0494
COG0495,COG0495
COG0496,COG0496
COG0497,COG0497
COG0498,COG0498
COG0499,COG0499
COG0500,COG0500
COG0501,COG0501
COG0502,COG0502
COG0503,COG0503
COG0504,COG0504
COG0505,COG0505
COG0506,COG0506
COG0507,COG0507
COG0508,COG0508
COG0509,COG0509
COG0510,COG0510
COG0511,COG0511
COG0512,COG0512
COG0513,COG0513
COG0514,COG0514
COG0515,COG0515
COG0516,COG0516
COG0517,COG0517
COG0518,COG0518
COG0519,COG0519
COG0520,COG0520
COG0521,COG0521
COG0522,COG0522
COG0523,COG0523
COG0524,COG0524
COG0525,COG0525
COG0526,COG0526
COG0527,COG0527
COG0528,COG0528
COG0529,COG0529
COG0530,COG0530
COG0531,COG0531
COG0532,COG0532
COG0533,COG0533
COG0534,COG0534
COG0535,COG0535
COG0536,COG0536
COG0537,COG0537
COG0538,COG0538
COG0539,COG0539
COG0540,COG0540
COG0541,COG0541
COG0542,COG0542
COG0543,COG0543
COG0544,COG0544
COG0545,COG0545
COG0546,COG0546
COG0547,COG0547
COG0548,COG0548
COG0549,COG0549
COG0550,COG0550
COG0551,COG0551
COG0552,COG0552
COG0553,COG0553
COG0554,COG0554
COG0555,COG0555
COG0556,COG0556
COG0557,COG0557
COG0558,COG0558
COG0559,COG0559
COG0560,COG0560
COG0561,COG0561
COG0562,COG0562
COG0563,COG0563
COG0564,COG0564
COG0565,COG0565
COG0566,COG0566
COG0567,COG0567
COG0568,COG0568
COG0569,COG0569
COG0571,COG0571
COG0572,COG0572
COG0573,COG0573
COG0574,COG0574
COG0575,COG0575
COG0576,COG0576
COG0577,COG0577
COG0578,COG0578
COG0579,COG0579
COG0580,COG0580
COG0581,COG0581
COG0582,COG0582
COG0583,COG0583
COG0584,COG0584
COG0585,COG0585
COG0586,COG0586
COG0587,COG0587
COG0588,COG0588
COG0589,COG0589
COG0590,COG0590
COG0591,COG0591
COG0592,COG0592
COG0593,COG0593
COG0594,COG0594
COG0595,COG0595
COG0596,COG0596
COG0597,COG0597
COG0598,COG0598
COG0599,COG0599
COG0600,COG0600
COG0601,COG0601
COG0602,COG0602
COG0603,COG0603
COG0604,COG0604
COG0605,COG0605
COG0606,COG0606
COG0607,COG0607
COG0608,COG0608
COG0609,COG0609
COG0610,COG0610
COG0611,COG0611
COG0612,COG0612
COG0613,COG0613
COG0614,COG0614
COG0615,COG0615
COG0616,COG0616
COG0617,COG0617
COG0618,COG0618
COG0619,COG0619
COG0620,COG0620
COG0621,COG0621
COG0622,COG0622
COG0623,COG0623
COG0624,COG0624
COG0625,COG0625
COG0626,COG0626
COG0627,COG0627
COG0628,COG0628
COG0629,COG0629
COG0630,COG0630
COG0631,COG0631
COG0632,COG0632
COG0633,COG0633
COG0634,COG0634
COG0635,COG0635
COG0636,COG0636
COG0637,COG0637
COG0638,COG0638
COG0639,COG0639
COG0640,COG0640
COG0641,COG0641
COG0642,COG0642
COG0643,COG0643
COG0644,COG0644
COG0645,COG0645
COG0646,COG0646
COG0647,COG0647
COG0648,COG0648
COG0649,COG0649
COG0650,COG0650
COG0651,COG0651
COG0652,COG0652
COG0653,COG0653
COG0654,COG0654
COG0655,COG0655
COG0656,COG0656
COG0657,COG0657
COG0658,COG0658
COG0659,COG0659
COG0661,COG0661
COG0662,COG0662
COG0663,COG0663
